name,x,y
Brunei,47.0,-176.0
Cambodia,-66.0,-94.0
China,-69.0,139.0
East Timor,183.0,-323.0
Indonesia,-20.0,-268.0
Japan,302.0,160.0
Laos,-86.0,-18.0
Malaysia,-67.0,-193.0
Mongolia,-75.0,273.0
Myanmar,-160.0,3.0
North Korea,198.0,204.0
Philippines,160.0,-99.0
South Korea,199.0,170.0
Taiwan,121.0,26.0
Thailand,-104.0,-56.0
Vietnam,-10.0,-90.0
