name,x,y
Argentina,-60.0,-111.0
Bolivia,-66.0,50.0
Brazil,26.0,118.0
Chile,-118.0,-88.0
Colombia,-160.0,234.0
Ecuador,-212.0,188.0
Falkland Islands,-22.0,-288.0
French Guiana,54.0,254.0
Guyana,-8.0,261.0
Paraguay,-21.0,-0.0
Peru,-169.0,112.0
Suriname,18.0,253.0
Uruguay,6.0,-105.0
Venezuela,-82.0,281.0
