name,x,y
Iran,121.0,158.0
Iraq,-145.0,159.0
Israel,-351.0,142.0
Jordan,-320.0,130.0
Kuwait,-49.0,90.0
Lebanon,-333.0,196.0
Bahrain,24.0,10.0
Oman,161.0,-126.0
Qatar,41.0,-3.0
Saudi Arabia,-100,-38
Syria,-262.0,228.0
United Arab Emirates,115.0,-46.0
Yemen,-52.0,-236.0
